Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_354_brier,0_354_san,354_709_brier,354_709_san,709_1064_brier,709_1064_san,1064_1419_brier,1064_1419_san,1419_1774_brier,1419_1774_san,1774_2128_brier,1774_2128_san,2128_2483_brier,2128_2483_san,2483_2838_brier,2483_2838_san,2838_3193_brier,2838_3193_san,3193_3548_brier,3193_3548_san,acc,brier,san
Qwen/Qwen1.5-4B,Qwen1.5,4.0,2.4,57.6,0.565235196,0.484641638,0.715793667,0.662194159,0.472731898,0.522365428,0.688785439,0.262195122,alibaba,202402.0,0.5526278308,rllab,,,,0.0028387119108189453,0.05431666877280216,0.01610779081826,0.06809533243498715,0.023977078927013715,0.0711121520624683,0.05103105282342432,0.05432685919905797,0.11570465428553464,0.04547029971323957,0.20905811901722018,0.03786626299918287,0.3503272532978239,0.03501440517512076,0.5583840418924979,0.01783822357140901,0.8102290218570917,0.011475265484780778,0.9839367389045661,0.0043517749650067,0.6445885005636979,0.31227568708983455,0.03998328320812786
Qwen/Qwen1.5-1.8B,Qwen1.5,1.8,2.4,25.92,0.467083853,0.37883959,0.614220275,0.602999211,0.394278142,0.3358605,0.643824663,0.182926829,alibaba,202402.0,0.4600484262,rllab,,,,0.003074257265011363,0.040887508084515474,0.02258363193517498,0.05476980870602036,0.05644221556823954,0.04643831290814875,0.103529411963837,0.04014895423701038,0.187205354292047,0.03348438296360458,0.31484187402022323,0.021504736248739855,0.4890392482678549,0.02773417214919293,0.7065008650715309,0.011865630840927713,0.8901771377344135,0.006873331264112899,0.9901137558633109,0.0053166283711478185,0.5727170236753101,0.3764733190028736,0.028901053580955755
Qwen/Qwen1.5-0.5B,Qwen1.5,0.5,2.4,7.2,0.393533408,0.314846416,0.490539733,0.572217837,0.382992684,0.163002274,0.575621493,0.115853659,alibaba,202402.0,0.3886198547,rllab,,,,0.00625579411313731,0.026298997153554736,0.047381050878039475,0.02832070261105531,0.08551680077826253,0.028772578022666084,0.17992779042727466,0.02472954028408667,0.3611063875458568,0.016887400801388435,0.49262935391884927,0.013744639034657736,0.6083836869539155,0.019232051778285936,0.7852193882501244,0.0066178850055227,0.8949325827335601,0.005817292922430637,0.9958600193836376,0.0021010077106639923,0.4983089064261556,0.44583192738748817,0.017250648310017654
Qwen/Qwen-72B,Qwen,72.0,3.0,1296.0,0.773737575,0.651877133,0.85939056,0.824782952,0.601910952,0.704321456,0.828731413,0.37195122,alibaba,202311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen-14B,Qwen,14.0,3.0,252.0,0.677042803,0.582764505,0.839872535,0.767955801,0.494329446,0.589840788,0.791508524,0.353658537,alibaba,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen-7B,Qwen,7.0,2.4,100.8,0.598387921,0.513651877,0.784704242,0.72691397,0.477859305,0.449583017,0.734576728,0.317073171,alibaba,202308.0,0.5828941746,rllab,,,,0.0005667153018638102,0.09374996891631049,0.007383244878851844,0.11050716236192604,0.011252456339956475,0.11605539503756342,0.039274858298391335,0.09410204081089907,0.06862360043699378,0.08102945161378464,0.1021263818872625,0.06461731101202277,0.2407408647109092,0.059578237509698734,0.46059565164337596,0.030578739696211187,0.7728270377369348,0.017336905002171808,0.9781778730522287,0.005904283946435381,0.6944757609921083,0.2682790839415489,0.06733927670999584
mistralai/Mistral-7B-v0.1,Mistral,7.3,,,0.641644838,0.599829352,0.833100976,0.786108919,0.421531711,0.370735406,0.781857102,0.274390244,mistral,202309.0,0.62590799,rllab,,,,0.00016570094021513265,0.09381795879200938,0.004190884878323016,0.1120859058975179,0.00830711966280817,0.1285500258488897,0.023822696694518055,0.10284616034081945,0.040874643450277665,0.08923823733241476,0.0831653092036406,0.06933840617696181,0.1654869628957092,0.06797976771006314,0.3593225375842585,0.0341978824918774,0.6535758010196078,0.021070229522828297,0.9384441712097115,0.0078043824591619475,0.7364712514092446,0.22784047005812466,0.07268788704010262
mistralai/Mixtral-8x7B-v0.1,Mixtral,45.0,,,0.718783933,0.663822526,0.864568811,0.816890292,0.46805433,0.576194086,0.800190967,0.335365854,mistral,202312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-ai/Yi-6B,Yi,6.0,3.0,108.0,0.641070914,0.555460751,0.765684127,0.741910024,0.419616075,0.121304018,0.723879126,0.158536585,01-ai,202311.0,0.6344537815,bdsrc,,,,0.0007838141925662253,0.10432587071840282,0.007929073386468309,0.13708627871686535,0.01340173821758137,0.14020457551774923,0.03460530930052896,0.1132764924301708,0.06565687274403961,0.10427932297811812,0.12628388010898842,0.08527682605370149,0.25034992728724925,0.06485955005515873,0.39822798723770486,0.03813298150604899,0.7237409147447608,0.022402851456295343,0.9752310969526048,0.007305554032383945,0.6989853438556933,0.2597315953599024,0.08170765361704219
01-ai/Yi-34B,Yi,34.0,3.0,612.0,0.763515673,0.645904437,0.856901016,0.830307814,0.562308393,0.506444276,0.795640491,0.268292683,01-ai,202311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
