Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_34_brier,0_34_san,34_68_brier,34_68_san,68_103_brier,68_103_san,acc,brier,san
mistralai/Mistral-7B-v0.1,Mistral,7.3,,,0.641644838,0.599829352,0.833100976,0.786108919,0.421531711,0.370735406,0.781857102,0.274390244,mistral,202309.0,0.62590799,rllab,,,,0.16804639288156203,0.9708105204629767,0.21356453283576454,0.9450396737430243,0.33981624429969,0.9639994372095783,0.7281553398058253,0.2414401944162938,0.9599891932557209
mistralai/Mixtral-8x7B-v0.1,Mixtral,45.0,,,0.718783933,0.663822526,0.864568811,0.816890292,0.46805433,0.576194086,0.800190967,0.335365854,mistral,202312.0,,,,,,,,,,,,,,
01-ai/Yi-6B,Yi,6.0,3.0,108.0,0.641070914,0.555460751,0.765684127,0.741910024,0.419616075,0.121304018,0.723879126,0.158536585,01-ai,202311.0,0.6344537815,bdsrc,,,,0.2676497751148451,0.9727458577275274,0.25471521446722273,0.9539342133686494,0.30935907021012926,0.9613147691580645,0.6796116504854369,0.27755317575868765,0.9626518382310895
01-ai/Yi-34B,Yi,34.0,3.0,612.0,0.763515673,0.645904437,0.856901016,0.830307814,0.562308393,0.506444276,0.795640491,0.268292683,01-ai,202311.0,,,,,,,,,,,,,,
google/gemma-7b,Gemma,7.0,6.0,252.0,0.660274573,0.610921502,0.824736108,0.784530387,0.449054884,0.527672479,0.783899856,0.335365854,google,202402.0,0.6509756445,bdsrc,,,,0.1699957814017582,0.9669997771360689,0.1876084698744073,0.9602304866746652,0.22297715077605315,0.9654467841926561,0.7766990291262136,0.19381305651020864,0.9642375380224072
google/gemma-2b,Gemma,2.0,6.0,72.0,0.417731464,0.483788396,0.71768572,0.662983425,0.330844343,0.169067475,0.709318357,0.231707317,google,202402.0,0.4119071357,bdsrc,,,,0.41833553131443485,0.9181097807476317,0.49960936907664183,0.9339351331358144,0.6415932491900371,0.926183999467422,0.34951456310679613,0.5210280615043487,0.9260773500329792
tiiuae/falcon-180B,Falcon,180.0,3.5,3780.0,0.695866104,0.691979522,0.88886676,0.868981847,0.451569509,0.459438969,0.844553352,,tiiuae,202309.0,,,,,,,,,,,,,,
tiiuae/falcon-40b,Falcon,40.0,1.0,240.0,0.569797005,0.619453925,0.852818164,0.812943962,0.417169225,0.214556482,0.784630576,,tiiuae,202309.0,,,,,,,,,,,,,,
tiiuae/falcon-7b,Falcon,7.0,1.5,63.0,0.277854702,0.478668942,0.781318462,0.723756906,0.342638255,0.046247157,0.717572363,,tiiuae,202309.0,0.2707591511,bdsrc,,,,0.4348456697495132,0.9267209498872587,0.5954331062242479,0.9053457382759837,0.7710748139354091,0.9238079547543295,0.27184466019417475,0.6021077366101668,0.9186752020772019
tiiuae/falcon-rw-1b,Falcon,1.0,0.35,2.1,0.252803188,0.350682594,0.635630353,0.620363062,0.35955599,0.005307051,0.535498701,,tiiuae,202307.0,0.2507477567,bdsrc,,,,0.43034212971105723,0.8241487842877472,0.6378938350143133,0.8190965851219776,0.9056965407562796,0.8589284833077471,0.2524271844660194,0.6603825410401201,0.8342994123854539
microsoft/phi-2,Phi,2.7,1.4,22.68,0.579202667,0.610068259,0.749153555,0.73480663,0.442368784,0.549658832,0.526666391,0.493902439,miscrosoft,202306.0,0.5694345535,bdsrc,,,,0.26300934636710704,0.9444820958807495,0.2869036550920367,0.9458685593669057,0.43361198517004756,0.9406375488473003,0.6310679611650486,0.328868558549151,0.9436333639619011
microsoft/phi-1_5,Phi,1.3,0.15,1.17,0.438864678,0.529010239,0.637920733,0.722178374,0.408899386,0.124336619,0.511112784,0.341463415,miscrosoft,202306.0,0.4246546076,bdsrc,,,,0.2657607325080703,0.8864913340901998,0.5505573984754205,0.8948652983587055,0.7529783759720612,0.8492513177996827,0.36893203883495146,0.5253306758491338,0.8766011808373947
