Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_105_brier,0_105_san,105_210_brier,105_210_san,210_315_brier,210_315_san,315_420_brier,315_420_san,420_525_brier,420_525_san,525_630_brier,525_630_san,630_735_brier,630_735_san,735_840_brier,735_840_san,840_945_brier,840_945_san,945_1050_brier,945_1050_san,acc,brier,san
Qwen/Qwen1.5-4B,Qwen1.5,4.0,2.4,57.6,0.565235196,0.484641638,0.715793667,0.662194159,0.472731898,0.522365428,0.688785439,0.262195122,alibaba,202402.0,0.5526278308,rllab,,,,0.5098572442601612,0.7879986806520209,0.5732216279549388,0.7655709842513545,0.6423894646432161,0.8004130978445188,0.6558204063608236,0.7565648165749455,0.6770505364821595,0.7354043011111927,0.6761787837392815,0.699835435054114,0.7163218530217438,0.6641399802010725,0.7342033151248567,0.5988971416030411,0.8162268353997542,0.5286851123622356,0.8885485255903717,0.2783045076373032,0.29428571428571426,0.6889818592577318,0.6615814057291797
Qwen/Qwen1.5-1.8B,Qwen1.5,1.8,2.4,25.92,0.467083853,0.37883959,0.614220275,0.602999211,0.394278142,0.3358605,0.643824663,0.182926829,alibaba,202402.0,0.4600484262,rllab,,,,0.5509423043036864,0.6370213494313557,0.6430887576860307,0.6195378140333547,0.7256138282592218,0.611991147619614,0.7773671703661194,0.5454586061787621,0.7153546203896426,0.563497255750947,0.766816772610813,0.5276806822526123,0.8243179667595304,0.4281882675488191,0.8481468121962588,0.42838670277497587,0.8875149031845363,0.3498457126650885,0.9627622075890077,0.14731194788932886,0.27904761904761904,0.7701925343344846,0.4858919486144859
Qwen/Qwen1.5-0.5B,Qwen1.5,0.5,2.4,7.2,0.393533408,0.314846416,0.490539733,0.572217837,0.382992684,0.163002274,0.575621493,0.115853659,alibaba,202402.0,0.3886198547,rllab,,,,0.5071996792309825,0.6379858194987766,0.6675007971623814,0.6296795775093857,0.6794146969018332,0.6411200023470864,0.7477292742265785,0.5845339925246787,0.7687359642621038,0.5619206087501143,0.8157917422976375,0.5304488956961009,0.832258790130704,0.44589584841851376,0.8655503219783378,0.39900090225271495,0.9030535665415901,0.33361265574709303,0.9796263047634883,0.13730583131400212,0.28,0.7766861137495644,0.4901504134058463
Qwen/Qwen-72B,Qwen,72.0,3.0,1296.0,0.773737575,0.651877133,0.85939056,0.824782952,0.601910952,0.704321456,0.828731413,0.37195122,alibaba,202311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen-14B,Qwen,14.0,3.0,252.0,0.677042803,0.582764505,0.839872535,0.767955801,0.494329446,0.589840788,0.791508524,0.353658537,alibaba,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen-7B,Qwen,7.0,2.4,100.8,0.598387921,0.513651877,0.784704242,0.72691397,0.477859305,0.449583017,0.734576728,0.317073171,alibaba,202308.0,0.5828941746,rllab,,,,0.47521543074417755,0.8554825901389838,0.5233879146880288,0.8502192236978425,0.6241264987683579,0.8676209734951664,0.5957294967044252,0.8122674642550497,0.6476274496941437,0.8010805934179694,0.623141567105803,0.7974163690962516,0.7212322298383859,0.7050147152172248,0.7223026207167237,0.6897062991786633,0.8162747513921907,0.5890243119552545,0.8921299592056243,0.37757409464576036,0.2838095238095238,0.6641167918857854,0.7345406635098178
mistralai/Mistral-7B-v0.1,Mistral,7.3,,,0.641644838,0.599829352,0.833100976,0.786108919,0.421531711,0.370735406,0.781857102,0.274390244,mistral,202309.0,0.62590799,rllab,,,,0.44624877277756114,0.9661014839962343,0.5266173715595468,0.9475492183633545,0.5897561552353504,0.9547715602164738,0.568247454391575,0.9313058039919265,0.6111690258793312,0.9053382561083028,0.6343014371770574,0.8954077069336109,0.6295866263723753,0.8751625010365285,0.676190063398108,0.8579970023795102,0.6852249433104933,0.8049927054761613,0.7094006401269407,0.6788869696769435,0.2923809523809524,0.6076742490228341,0.8817513208179047
mistralai/Mixtral-8x7B-v0.1,Mixtral,45.0,,,0.718783933,0.663822526,0.864568811,0.816890292,0.46805433,0.576194086,0.800190967,0.335365854,mistral,202312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-ai/Yi-6B,Yi,6.0,3.0,108.0,0.641070914,0.555460751,0.765684127,0.741910024,0.419616075,0.121304018,0.723879126,0.158536585,01-ai,202311.0,0.6344537815,bdsrc,,,,0.4739599526289582,0.9443530721733477,0.5489624916069009,0.9313949041622617,0.5911380074207282,0.9435117991134331,0.5812046406983006,0.9161225759315613,0.6134960256952838,0.8905416093509775,0.6530049756071564,0.8623648212970088,0.6598726792317813,0.8426088870818903,0.669892432619147,0.8252952393114701,0.6697540442289005,0.7651326362549378,0.7766564161164596,0.6175378308300938,0.26285714285714284,0.623794166585361,0.8538863375506985
01-ai/Yi-34B,Yi,34.0,3.0,612.0,0.763515673,0.645904437,0.856901016,0.830307814,0.562308393,0.506444276,0.795640491,0.268292683,01-ai,202311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-7b,Gemma,7.0,6.0,252.0,0.660274573,0.610921502,0.824736108,0.784530387,0.449054884,0.527672479,0.783899856,0.335365854,google,202402.0,0.6509756445,bdsrc,,,,0.3759035650263697,0.8965832561842367,0.4109487563419827,0.9101903239646374,0.5073196037408272,0.9033229129194524,0.47191962937726234,0.9106662073505715,0.5408495797361164,0.8714968599240157,0.5411701582051042,0.8583976834022851,0.5705672314533662,0.8282380936662369,0.6108260218207953,0.8327505639968876,0.5920516539727482,0.7708883988796352,0.672317311201647,0.6306130867109562,0.41619047619047617,0.5293873510876224,0.8413147386998914
google/gemma-2b,Gemma,2.0,6.0,72.0,0.417731464,0.483788396,0.71768572,0.662983425,0.330844343,0.169067475,0.709318357,0.231707317,google,202402.0,0.4119071357,bdsrc,,,,0.5009334820275786,0.8188611769131591,0.5704815963743084,0.8089058312471525,0.5753817424347573,0.7962452567997172,0.6527968034028553,0.8077299012485418,0.6556112223177848,0.7788014151452134,0.6857453177393572,0.7558254986233399,0.7110372989703239,0.6985434501477941,0.7630678096682442,0.6649314238090217,0.7949478698616987,0.5729481119849861,0.908938383228478,0.3425500849033981,0.2876190476190476,0.6818941526025387,0.7045342150822334
tiiuae/falcon-180B,Falcon,180.0,3.5,3780.0,0.695866104,0.691979522,0.88886676,0.868981847,0.451569509,0.459438969,0.844553352,,tiiuae,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiiuae/falcon-40b,Falcon,40.0,1.0,240.0,0.569797005,0.619453925,0.852818164,0.812943962,0.417169225,0.214556482,0.784630576,,tiiuae,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
