Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_105_acc,0_105_san,105_210_acc,105_210_san,210_315_acc,210_315_san,315_420_acc,315_420_san,420_525_acc,420_525_san,525_630_acc,525_630_san,630_735_acc,630_735_san,735_840_acc,735_840_san,840_945_acc,840_945_san,945_1050_acc,945_1050_san,brier,san
Qwen/Qwen1.5-4B,Qwen1.5,4.0,2.4,57.6,0.565235196,0.484641638,0.715793667,0.662194159,0.472731898,0.522365428,0.688785439,0.262195122,alibaba,202402.0,0.5526278308,rllab,,,,0.11428571428571428,0.6827096723481257,0.1619047619047619,0.6949522079449802,0.2761904761904762,0.6667591110837021,0.3047619047619048,0.6651523466546293,0.38095238095238093,0.6759708784391268,0.21904761904761905,0.6139918591068583,0.3333333333333333,0.6448630199003774,0.37142857142857144,0.6405867805474699,0.37142857142857144,0.6527480147120239,0.4095238095238095,0.6780801665545055,0.5678513103732095,0.6615814057291797
Qwen/Qwen1.5-1.8B,Qwen1.5,1.8,2.4,25.92,0.467083853,0.37883959,0.614220275,0.602999211,0.394278142,0.3358605,0.643824663,0.182926829,alibaba,202402.0,0.4600484262,rllab,,,,0.08571428571428572,0.5381509871573079,0.1523809523809524,0.5162059186943755,0.1619047619047619,0.49951511040241,0.24761904761904763,0.4729228566302233,0.2761904761904762,0.4693728771967535,0.20952380952380953,0.45360703593308715,0.2761904761904762,0.45410403512288683,0.3333333333333333,0.4447623723929604,0.44761904761904764,0.5023768771664744,0.6,0.5079014154483787,0.5829463778068329,0.4858919486144859
Qwen/Qwen1.5-0.5B,Qwen1.5,0.5,2.4,7.2,0.393533408,0.314846416,0.490539733,0.572217837,0.382992684,0.163002274,0.575621493,0.115853659,alibaba,202402.0,0.3886198547,rllab,,,,0.0761904761904762,0.5063118953388819,0.11428571428571428,0.5171416453793657,0.1523809523809524,0.509406830182952,0.19047619047619047,0.5038236178461262,0.19047619047619047,0.49049263435581747,0.20952380952380953,0.44078731212576133,0.34285714285714286,0.48957036040761803,0.29523809523809524,0.4441181393881153,0.5333333333333333,0.46925636925477754,0.6952380952380952,0.5305953297790515,0.588705767621428,0.4901504134058463
Qwen/Qwen-72B,Qwen,72.0,3.0,1296.0,0.773737575,0.651877133,0.85939056,0.824782952,0.601910952,0.704321456,0.828731413,0.37195122,alibaba,202311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen-14B,Qwen,14.0,3.0,252.0,0.677042803,0.582764505,0.839872535,0.767955801,0.494329446,0.589840788,0.791508524,0.353658537,alibaba,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen-7B,Qwen,7.0,2.4,100.8,0.598387921,0.513651877,0.784704242,0.72691397,0.477859305,0.449583017,0.734576728,0.317073171,alibaba,202308.0,0.5828941746,rllab,,,,0.08571428571428572,0.7631889760381126,0.14285714285714285,0.7769019387702466,0.17142857142857143,0.743854317015275,0.2571428571428571,0.719316924695825,0.2571428571428571,0.7426742454969117,0.3142857142857143,0.6760366792871028,0.22857142857142856,0.7096790394416075,0.41904761904761906,0.7119836041211913,0.42857142857142855,0.7377501786904168,0.5333333333333333,0.7640207315414773,0.5731252373920855,0.7345406635098178
mistralai/Mistral-7B-v0.1,Mistral,7.3,,,0.641644838,0.599829352,0.833100976,0.786108919,0.421531711,0.370735406,0.781857102,0.274390244,mistral,202309.0,0.62590799,rllab,,,,0.05714285714285714,0.9394044589052262,0.1523809523809524,0.9057479718050241,0.2761904761904762,0.8992758919069285,0.26666666666666666,0.8748029926902158,0.2857142857142857,0.8673933393178203,0.3333333333333333,0.8622527318228717,0.34285714285714286,0.8610565342957976,0.3904761904761905,0.8718436386475975,0.37142857142857144,0.8621434044284424,0.44761904761904764,0.8735922443591225,0.5643038321809184,0.8817513208179047
mistralai/Mixtral-8x7B-v0.1,Mixtral,45.0,,,0.718783933,0.663822526,0.864568811,0.816890292,0.46805433,0.576194086,0.800190967,0.335365854,mistral,202312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-ai/Yi-6B,Yi,6.0,3.0,108.0,0.641070914,0.555460751,0.765684127,0.741910024,0.419616075,0.121304018,0.723879126,0.158536585,01-ai,202311.0,0.6344537815,bdsrc,,,,0.09523809523809523,0.9174633174515496,0.11428571428571428,0.8810178552250773,0.23809523809523808,0.8750822750439379,0.21904761904761905,0.8403834816978336,0.2761904761904762,0.8552854887871764,0.21904761904761905,0.8283662143155448,0.3619047619047619,0.827706310585052,0.3619047619047619,0.8275851804074568,0.26666666666666666,0.839311920293191,0.47619047619047616,0.8466613317001646,0.5680419319349657,0.8538863375506985
01-ai/Yi-34B,Yi,34.0,3.0,612.0,0.763515673,0.645904437,0.856901016,0.830307814,0.562308393,0.506444276,0.795640491,0.268292683,01-ai,202311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-7b,Gemma,7.0,6.0,252.0,0.660274573,0.610921502,0.824736108,0.784530387,0.449054884,0.527672479,0.783899856,0.335365854,google,202402.0,0.6509756445,bdsrc,,,,0.3333333333333333,0.8485555988918553,0.34285714285714286,0.867993383522194,0.4,0.8600979491054369,0.37142857142857144,0.859062538521669,0.38095238095238093,0.8350975825572146,0.3523809523809524,0.8316522934779823,0.4,0.8233687003600556,0.47619047619047616,0.8312740514426491,0.5523809523809524,0.809215908563876,0.5523809523809524,0.8468293805559833,0.46833844418992504,0.8413147386998914
google/gemma-2b,Gemma,2.0,6.0,72.0,0.417731464,0.483788396,0.71768572,0.662983425,0.330844343,0.169067475,0.709318357,0.231707317,google,202402.0,0.4119071357,bdsrc,,,,0.0761904761904762,0.7367248193926678,0.1523809523809524,0.7213245653173952,0.2761904761904762,0.7060775431782181,0.18095238095238095,0.738269030201322,0.2761904761904762,0.7072348301958102,0.23809523809523808,0.6828304256269608,0.29523809523809524,0.6697257218613972,0.4,0.6917576769110322,0.3904761904761905,0.6856873644233966,0.5904761904761905,0.7057101737141243,0.575952177221612,0.7045342150822334
tiiuae/falcon-180B,Falcon,180.0,3.5,3780.0,0.695866104,0.691979522,0.88886676,0.868981847,0.451569509,0.459438969,0.844553352,,tiiuae,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiiuae/falcon-40b,Falcon,40.0,1.0,240.0,0.569797005,0.619453925,0.852818164,0.812943962,0.417169225,0.214556482,0.784630576,,tiiuae,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiiuae/falcon-7b,Falcon,7.0,1.5,63.0,0.277854702,0.478668942,0.781318462,0.723756906,0.342638255,0.046247157,0.717572363,,tiiuae,202309.0,0.2707591511,bdsrc,,,,0.047619047619047616,0.6453484936872966,0.05714285714285714,0.6279746151551704,0.19047619047619047,0.5903113621853481,0.19047619047619047,0.6018629047950839,0.2,0.5726103624378672,0.3047619047619048,0.5390288307939348,0.3238095238095238,0.5596387144587814,0.34285714285714286,0.5468031773727646,0.3619047619047619,0.5828874112156581,0.5428571428571428,0.6028898672774078,0.6002792099573425,0.5869355739379307
tiiuae/falcon-rw-1b,Falcon,1.0,0.35,2.1,0.252803188,0.350682594,0.635630353,0.620363062,0.35955599,0.005307051,0.535498701,,tiiuae,202307.0,0.2507477567,bdsrc,,,,0.06666666666666667,0.22598277839194608,0.17142857142857143,0.23110648162562486,0.23809523809523808,0.18958802196941862,0.2761904761904762,0.23370641972164913,0.23809523809523808,0.20826992287529464,0.3047619047619048,0.18244130894900157,0.3333333333333333,0.2709723976175896,0.2571428571428571,0.22841950074845946,0.2761904761904762,0.20620717874594166,0.41904761904761906,0.1969377605291241,0.6140330595343209,0.21736317711740497
microsoft/phi-2,Phi,2.7,1.4,22.68,0.579202667,0.610068259,0.749153555,0.73480663,0.442368784,0.549658832,0.526666391,0.493902439,miscrosoft,202306.0,0.5694345535,bdsrc,,,,0.0761904761904762,0.7252980360560308,0.09523809523809523,0.7280494991932763,0.2,0.700203780716825,0.19047619047619047,0.7184963444496856,0.19047619047619047,0.6999481479449515,0.2571428571428571,0.6572704746311341,0.26666666666666666,0.6879928296025909,0.2571428571428571,0.6653887870675047,0.3904761904761905,0.6800605308378687,0.5523809523809524,0.7045674998724241,0.5986005579433995,0.6967275930372301
microsoft/phi-1_5,Phi,1.3,0.15,1.17,0.438864678,0.529010239,0.637920733,0.722178374,0.408899386,0.124336619,0.511112784,0.341463415,miscrosoft,202306.0,0.4246546076,bdsrc,,,,0.009523809523809525,0.4855525371164296,0.08571428571428572,0.47898643533945867,0.06666666666666667,0.4864496652215322,0.12380952380952381,0.4983269933613626,0.12380952380952381,0.4688643424657048,0.2761904761904762,0.4239290046948016,0.23809523809523808,0.4886418404401674,0.3619047619047619,0.4005083179941896,0.4666666666666667,0.47102032626811335,0.7904761904761904,0.5237795842896624,0.6355514328323997,0.4726059047191421
EleutherAI/pythia-1b-deduped,Pythia,1.0,0.3,1.8,0.242710646,0.290955631,0.496514639,0.535911602,0.389393782,0.011372252,0.56099166,0.042682927,EleutherAI,202302.0,0.2493946731,bdsrc,,,,0.0,0.44837396367670834,0.01904761904761905,0.43247001128908447,0.05714285714285714,0.40248929236672876,0.06666666666666667,0.4530470885350449,0.09523809523809523,0.4046962215015628,0.09523809523809523,0.3880868287822248,0.19047619047619047,0.4505029732695733,0.38095238095238093,0.38504472478689306,0.638095238095238,0.4209965227765553,0.8952380952380953,0.4170054670608264,0.6325089365777389,0.4202713094045195
EleutherAI/pythia-410m-deduped,Pythia,0.41,0.3,0.738,0.259888196,0.248293515,0.412865963,0.543804262,0.409475786,0.0030326,0.536312165,0.012195122,EleutherAI,202302.0,0.2551630822,bdsrc,,,,0.009523809523809525,0.31428741279309585,0.0380952380952381,0.27837843256658384,0.047619047619047616,0.26454758878700946,0.09523809523809523,0.2807805297511047,0.08571428571428572,0.25802616344411966,0.13333333333333333,0.2469941227787589,0.20952380952380953,0.2980623795749772,0.2857142857142857,0.27521296532150935,0.6095238095238096,0.27999315067031116,0.8476190476190476,0.3087222578010853,0.634140971713285,0.28050050034885576
EleutherAI/pythia-6.9b-deduped,Pythia,6.9,0.3,12.42,0.264809441,0.412969283,0.670483967,0.640883978,0.351945849,0.016679303,0.652470454,0.085365854,EleutherAI,202302.0,0.2605754166,bdsrc,,,,0.009523809523809525,0.5418906466575824,0.01904761904761905,0.5310551395382598,0.06666666666666667,0.5139126183735071,0.11428571428571428,0.5491846865761703,0.12380952380952381,0.5078338840990047,0.14285714285714285,0.4731660501747353,0.26666666666666666,0.514322086311736,0.4,0.4721603832020961,0.6285714285714286,0.4963313630622386,0.780952380952381,0.5623400529564804,0.6047831386720086,0.5162196910951813
EleutherAI/pythia-2.8b-deduped,Pythia,2.8,0.3,5.04,0.267846374,0.362627986,0.60655248,0.602209945,0.355597823,0.008339651,0.639989047,0.048780488,EleutherAI,202302.0,0.2663438257,bdsrc,,,,0.01904761904761905,0.5612560128638363,0.01904761904761905,0.5680471177599196,0.02857142857142857,0.5335595576476543,0.06666666666666667,0.5523145537388469,0.05714285714285714,0.5471036727530949,0.12380952380952381,0.49459157890856364,0.2571428571428571,0.5365761000488241,0.3142857142857143,0.5064441086558137,0.6666666666666666,0.5128233350717213,0.9047619047619048,0.5433425876639338,0.6293907521071878,0.5356058625112206
EleutherAI/pythia-12b-deduped,Pythia,12.0,0.3,21.6,0.256306029,0.413822526,0.702648875,0.664561957,0.329988729,0.014404852,0.682420515,0.115853659,EleutherAI,202302.0,0.2617148554,bdsrc,,,,0.0,0.6594373195114488,0.05714285714285714,0.6631594008176369,0.08571428571428572,0.6075971367093881,0.08571428571428572,0.6402266842475254,0.12380952380952381,0.613310921464534,0.22857142857142856,0.5670223200162978,0.3238095238095238,0.6107901338831325,0.37142857142857144,0.5719864119918874,0.5238095238095238,0.6187616131603605,0.8857142857142857,0.6768358586156727,0.5976529525658305,0.6229127800417886
