Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_105_brier,0_105_san,105_210_brier,105_210_san,210_315_brier,210_315_san,315_420_brier,315_420_san,420_525_brier,420_525_san,525_630_brier,525_630_san,630_735_brier,630_735_san,735_840_brier,735_840_san,840_945_brier,840_945_san,945_1050_brier,945_1050_san,acc,brier,san
Qwen/Qwen1.5-4B,Qwen1.5,4.0,2.4,57.6,0.565235196,0.484641638,0.715793667,0.662194159,0.472731898,0.522365428,0.688785439,0.262195122,alibaba,202402.0,0.5526278308,rllab,,,,0.46236086134347104,0.6844370896383393,0.49688894221870633,0.6930848492599283,0.4770765815650014,0.6305461358821655,0.543323388887344,0.6858781080922477,0.554110955058886,0.6649625072425487,0.5527764386070543,0.6998880863939129,0.5822211506607503,0.6657939603038543,0.6335868060196657,0.6982972486748704,0.6687035451144686,0.6337046320529691,0.7074644342567384,0.5592214397509617,0.29428571428571426,0.5678513103732095,0.6615814057291797
Qwen/Qwen1.5-1.8B,Qwen1.5,1.8,2.4,25.92,0.467083853,0.37883959,0.614220275,0.602999211,0.394278142,0.3358605,0.643824663,0.182926829,alibaba,202402.0,0.4600484262,rllab,,,,0.3718832614019674,0.523591885618746,0.5001075082528528,0.5284083944228612,0.5057427138669174,0.4392100536363111,0.5910211432014825,0.5054083061849631,0.5770068081491201,0.47271774645896797,0.5838627780010561,0.5052749147067811,0.6061117027035732,0.47530187919064315,0.6575970669317006,0.5147572227636962,0.6655121614891716,0.48573850358241777,0.7706186340704834,0.40851057957947107,0.27904761904761904,0.5829463778068329,0.4858919486144859
Qwen/Qwen1.5-0.5B,Qwen1.5,0.5,2.4,7.2,0.393533408,0.314846416,0.490539733,0.572217837,0.382992684,0.163002274,0.575621493,0.115853659,alibaba,202402.0,0.3886198547,rllab,,,,0.2893310201155308,0.5310090813775324,0.41231500373025354,0.5128216365389611,0.5196778541009611,0.448167306955932,0.5840985715579229,0.5206900591253651,0.5622642862017525,0.47758803343004647,0.6277350831916325,0.5152229613524117,0.6941358076671712,0.48081953738974753,0.6572983497887656,0.536408614629226,0.7175198961930248,0.4685357533351115,0.822681803667257,0.4102411499241328,0.28,0.588705767621428,0.4901504134058463
Qwen/Qwen-72B,Qwen,72.0,3.0,1296.0,0.773737575,0.651877133,0.85939056,0.824782952,0.601910952,0.704321456,0.828731413,0.37195122,alibaba,202311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen-14B,Qwen,14.0,3.0,252.0,0.677042803,0.582764505,0.839872535,0.767955801,0.494329446,0.589840788,0.791508524,0.353658537,alibaba,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen-7B,Qwen,7.0,2.4,100.8,0.598387921,0.513651877,0.784704242,0.72691397,0.477859305,0.449583017,0.734576728,0.317073171,alibaba,202308.0,0.5828941746,rllab,,,,0.38794121335866283,0.7758512310143133,0.4935510152056054,0.7504710549253794,0.4344038751755493,0.723542430843595,0.5979653546157111,0.7653101667667496,0.6163288003679057,0.7168355096648013,0.546031298966259,0.7576225609161317,0.5990462285578589,0.7186375297422797,0.638217313937114,0.7667932105614595,0.668695442871596,0.721871731484689,0.7490718308645976,0.6484712091787674,0.2838095238095238,0.5731252373920855,0.7345406635098178
mistralai/Mistral-7B-v0.1,Mistral,7.3,,,0.641644838,0.599829352,0.833100976,0.786108919,0.421531711,0.370735406,0.781857102,0.274390244,mistral,202309.0,0.62590799,rllab,,,,0.4474901861880389,0.8701991370718761,0.5087651390753228,0.8933493256108915,0.5118324870571138,0.880927727073544,0.5607760446003012,0.8842828729361537,0.5560363615122451,0.8655998007634932,0.5592669491457603,0.8830203901996068,0.5333211543299213,0.8737666174882508,0.6191352773773086,0.9123638951848201,0.648223214751836,0.8925116864992088,0.6981915077713365,0.8614917553512015,0.2923809523809524,0.5643038321809184,0.8817513208179047
mistralai/Mixtral-8x7B-v0.1,Mixtral,45.0,,,0.718783933,0.663822526,0.864568811,0.816890292,0.46805433,0.576194086,0.800190967,0.335365854,mistral,202312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-ai/Yi-6B,Yi,6.0,3.0,108.0,0.641070914,0.555460751,0.765684127,0.741910024,0.419616075,0.121304018,0.723879126,0.158536585,01-ai,202311.0,0.6344537815,bdsrc,,,,0.4594890144306375,0.8422404215223328,0.5477731147100948,0.8833162795120005,0.5143407755131078,0.8366376852546841,0.553130356828045,0.8606892310003906,0.5576968583984458,0.8318414483023147,0.5758371953881067,0.8637430458478104,0.5973805106164409,0.8548257504581318,0.6233712860096325,0.89035586559075,0.6075158786583165,0.8539679778669369,0.6438843287968292,0.8212456701516311,0.26285714285714284,0.5680419319349657,0.8538863375506985
01-ai/Yi-34B,Yi,34.0,3.0,612.0,0.763515673,0.645904437,0.856901016,0.830307814,0.562308393,0.506444276,0.795640491,0.268292683,01-ai,202311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
