Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_350_brier,0_350_san,350_700_brier,350_700_san,700_1050_brier,700_1050_san,acc,brier,san
mistralai/Mixtral-8x7B-v0.1,Mixtral,45.0,,,0.718783933,0.663822526,0.864568811,0.816890292,0.46805433,0.576194086,0.800190967,0.335365854,mistral,202312.0,,,,,,,,,,,,,,
01-ai/Yi-6B,Yi,6.0,3.0,108.0,0.641070914,0.555460751,0.765684127,0.741910024,0.419616075,0.121304018,0.723879126,0.158536585,01-ai,202311.0,0.6344537815,bdsrc,,,,0.5095996740169088,0.8538027509751771,0.5746124260347565,0.854005369512124,0.6199136957532329,0.8538508921647923,0.26285714285714284,0.5680419319349657,0.8538863375506985
01-ai/Yi-34B,Yi,34.0,3.0,612.0,0.763515673,0.645904437,0.856901016,0.830307814,0.562308393,0.506444276,0.795640491,0.268292683,01-ai,202311.0,,,,,,,,,,,,,,
google/gemma-7b,Gemma,7.0,6.0,252.0,0.660274573,0.610921502,0.824736108,0.784530387,0.449054884,0.527672479,0.783899856,0.335365854,google,202402.0,0.6509756445,bdsrc,,,,0.4041485032920521,0.8422901479844788,0.49031160972131116,0.8447315199777283,0.5105552195564109,0.8369225481374674,0.41619047619047617,0.46833844418992504,0.8413147386998914
google/gemma-2b,Gemma,2.0,6.0,72.0,0.417731464,0.483788396,0.71768572,0.662983425,0.330844343,0.169067475,0.709318357,0.231707317,google,202402.0,0.4119071357,bdsrc,,,,0.46578256847633903,0.7110648948736941,0.60096354071564,0.7177752223157053,0.6611104224728577,0.6847625280572972,0.2876190476190476,0.575952177221612,0.7045342150822334
tiiuae/falcon-180B,Falcon,180.0,3.5,3780.0,0.695866104,0.691979522,0.88886676,0.868981847,0.451569509,0.459438969,0.844553352,,tiiuae,202309.0,,,,,,,,,,,,,,
tiiuae/falcon-40b,Falcon,40.0,1.0,240.0,0.569797005,0.619453925,0.852818164,0.812943962,0.417169225,0.214556482,0.784630576,,tiiuae,202309.0,,,,,,,,,,,,,,
tiiuae/falcon-7b,Falcon,7.0,1.5,63.0,0.277854702,0.478668942,0.781318462,0.723756906,0.342638255,0.046247157,0.717572363,,tiiuae,202309.0,0.2707591511,bdsrc,,,,0.47525984187355275,0.5965905523140311,0.5959925477397264,0.5878026182648932,0.7295852402587463,0.5764135512348691,0.2561904761904762,0.6002792099573425,0.5869355739379307
tiiuae/falcon-rw-1b,Falcon,1.0,0.35,2.1,0.252803188,0.350682594,0.635630353,0.620363062,0.35955599,0.005307051,0.535498701,,tiiuae,202307.0,0.2507477567,bdsrc,,,,0.5798865420838951,0.22799615420950123,0.5811007265806079,0.2258607370613763,0.6811119099384582,0.19823264008133756,0.2580952380952381,0.6140330595343209,0.21736317711740497
microsoft/phi-2,Phi,2.7,1.4,22.68,0.579202667,0.610068259,0.749153555,0.73480663,0.442368784,0.549658832,0.526666391,0.493902439,miscrosoft,202306.0,0.5694345535,bdsrc,,,,0.4954660737239567,0.6965183314145637,0.5868198553994581,0.7047626325649251,0.7135157447067839,0.6889018151321986,0.24761904761904763,0.5986005579433995,0.6967275930372301
microsoft/phi-1_5,Phi,1.3,0.15,1.17,0.438864678,0.529010239,0.637920733,0.722178374,0.408899386,0.124336619,0.511112784,0.341463415,miscrosoft,202306.0,0.4246546076,bdsrc,,,,0.42011029436866487,0.48548958339822296,0.6603431058520118,0.4701201524020709,0.8262008982765209,0.4622079783571326,0.2542857142857143,0.6355514328323997,0.4726059047191421
EleutherAI/pythia-1b-deduped,Pythia,1.0,0.3,1.8,0.242710646,0.290955631,0.496514639,0.535911602,0.389393782,0.011372252,0.56099166,0.042682927,EleutherAI,202302.0,0.2493946731,bdsrc,,,,0.3508904346794588,0.42754832129396764,0.712105791870123,0.4394544419229099,0.8345305831836346,0.39381116499668367,0.2438095238095238,0.6325089365777389,0.4202713094045195
EleutherAI/pythia-410m-deduped,Pythia,0.41,0.3,0.738,0.259888196,0.248293515,0.412865963,0.543804262,0.409475786,0.0030326,0.536312165,0.012195122,EleutherAI,202302.0,0.2551630822,bdsrc,,,,0.37829959672586644,0.299221338537219,0.7007190062727648,0.28390628072586316,0.8234043121412271,0.2583738817834848,0.2361904761904762,0.634140971713285,0.28050050034885576
