Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_1502_brier,0_1502_san,1502_3004_brier,1502_3004_san,3004_4506_brier,3004_4506_san,4506_6009_brier,4506_6009_san,6009_7511_brier,6009_7511_san,7511_9013_brier,7511_9013_san,9013_10516_brier,9013_10516_san,10516_12018_brier,10516_12018_san,12018_13520_brier,12018_13520_san,13520_15023_brier,13520_15023_san,acc,brier,san
Qwen/Qwen1.5-4B,Qwen1.5,4.0,2.4,57.6,0.565235196,0.484641638,0.715793667,0.662194159,0.472731898,0.522365428,0.688785439,0.262195122,alibaba,202402.0,0.5526278308,rllab,,,,0.24604193021385112,0.8479681243377661,0.2858948206893572,0.8646468494629804,0.26753982329628107,0.868101000773806,0.31360688005920934,0.8856602965426559,0.3240127947126644,0.8964075338430852,0.35289593154962107,0.8903995008127263,0.39437832290326374,0.8990225851076977,0.43144164103894195,0.8907737360225954,0.5506242391631764,0.898156455023235,0.7059383065838897,0.90646823997121,0.5406376888770552,0.38725425735241636,0.8847628864149663
Qwen/Qwen1.5-1.8B,Qwen1.5,1.8,2.4,25.92,0.467083853,0.37883959,0.614220275,0.602999211,0.394278142,0.3358605,0.643824663,0.182926829,alibaba,202402.0,0.4600484262,rllab,,,,0.2113778973452641,0.6683936194306186,0.27144828091773343,0.6326651250903245,0.3072604610152559,0.6195928933523595,0.43669955706088326,0.6164443387634367,0.5289449809869239,0.6135556343071599,0.5603964456806284,0.6010273829426122,0.6067445787681603,0.5990249747648626,0.6638385038718676,0.584657245430596,0.7366878549572322,0.5899494276792987,0.8407577433878899,0.6007158935586747,0.40191706050722226,0.5164379265442965,0.6126012142220376
Qwen/Qwen1.5-0.5B,Qwen1.5,0.5,2.4,7.2,0.393533408,0.314846416,0.490539733,0.572217837,0.382992684,0.163002274,0.575621493,0.115853659,alibaba,202402.0,0.3886198547,rllab,,,,0.17108525068760824,0.8264934798223432,0.2878751371104357,0.806790343207164,0.3937968982741929,0.8009218788444834,0.47148262511183964,0.8067420344468788,0.5213330711988468,0.8037737545705554,0.5423367434428568,0.7984408673005168,0.607618039934926,0.7872970883138418,0.6739984755236906,0.7780842169838831,0.8019846442151963,0.7874881171521081,0.920288830284195,0.8081799219599033,0.3486653797510484,0.5392053892433339,0.8004212338649006
Qwen/Qwen-72B,Qwen,72.0,3.0,1296.0,0.773737575,0.651877133,0.85939056,0.824782952,0.601910952,0.704321456,0.828731413,0.37195122,alibaba,202311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen-14B,Qwen,14.0,3.0,252.0,0.677042803,0.582764505,0.839872535,0.767955801,0.494329446,0.589840788,0.791508524,0.353658537,alibaba,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen-7B,Qwen,7.0,2.4,100.8,0.598387921,0.513651877,0.784704242,0.72691397,0.477859305,0.449583017,0.734576728,0.317073171,alibaba,202308.0,0.5828941746,rllab,,,,0.24360899639644332,0.9062165264909073,0.32811321240708713,0.9231643297607267,0.31408858755298674,0.9328190369769012,0.3455574547339979,0.9425931747003674,0.3975662645481423,0.952152332868388,0.43535610906210676,0.9492491262483796,0.4562426011910598,0.9470093855588226,0.4997969109915854,0.9400662022252319,0.571289105687929,0.9500172156232058,0.6859217004987224,0.9399698695578128,0.4908473673700326,0.42776770407026826,0.9383266915293891
mistralai/Mistral-7B-v0.1,Mistral,7.3,,,0.641644838,0.599829352,0.833100976,0.786108919,0.421531711,0.370735406,0.781857102,0.274390244,mistral,202309.0,0.62590799,rllab,,,,0.01915626064559221,0.9683918712951015,0.04474297960892212,0.9623153134355911,0.06648786627742566,0.9628963169611274,0.09272390063457207,0.9839975530685746,0.1250636369869176,0.9955696786722172,0.1264763538131695,0.9805822119289888,0.16383368793642855,0.9830629661792017,0.163319046323709,0.9799220914558091,0.20117199605436675,0.9807160194418495,0.25403424075719094,0.9778747777422214,0.8911003128536245,0.1257098825351028,0.9775337012027142
mistralai/Mixtral-8x7B-v0.1,Mixtral,45.0,,,0.718783933,0.663822526,0.864568811,0.816890292,0.46805433,0.576194086,0.800190967,0.335365854,mistral,202312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-ai/Yi-6B,Yi,6.0,3.0,108.0,0.641070914,0.555460751,0.765684127,0.741910024,0.419616075,0.121304018,0.723879126,0.158536585,01-ai,202311.0,0.6344537815,bdsrc,,,,0.1148981836972728,0.909921093597886,0.17614529354930997,0.9380552480632516,0.19580071670856322,0.9353038650489625,0.3095740157846345,0.9429454580503012,0.39711838287433593,0.9543769845700011,0.44256190739904955,0.956042969877969,0.5017390674521419,0.9638004654697748,0.5382020908115926,0.9619981383571492,0.5997804462230824,0.9632825436312846,0.712003688271716,0.9664128170382075,0.5988151501031751,0.3988041438803569,0.9492156568904434
01-ai/Yi-34B,Yi,34.0,3.0,612.0,0.763515673,0.645904437,0.856901016,0.830307814,0.562308393,0.506444276,0.795640491,0.268292683,01-ai,202311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
