Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_5007_brier,0_5007_san,5007_10015_brier,5007_10015_san,10015_15023_brier,10015_15023_san,acc,brier,san
mistralai/Mistral-7B-v0.1,Mistral,7.3,,,0.641644838,0.599829352,0.833100976,0.786108919,0.421531711,0.370735406,0.781857102,0.274390244,mistral,202309.0,0.62590799,rllab,,,,0.04678217654758789,0.965796414139294,0.12883797453219348,0.9868281389537399,0.20149373620084818,0.9799742068076315,0.8911003128536245,0.1257098825351028,0.9775337012027142
mistralai/Mixtral-8x7B-v0.1,Mixtral,45.0,,,0.718783933,0.663822526,0.864568811,0.816890292,0.46805433,0.576194086,0.800190967,0.335365854,mistral,202312.0,,,,,,,,,,,,,,
01-ai/Yi-6B,Yi,6.0,3.0,108.0,0.641070914,0.555460751,0.765684127,0.741910024,0.419616075,0.121304018,0.723879126,0.158536585,01-ai,202311.0,0.6344537815,bdsrc,,,,0.1741725496676718,0.9289968478236958,0.41661250165464536,0.9544681110137772,0.6055825257671933,0.9641779745317373,0.5988151501031751,0.3988041438803569,0.9492156568904434
01-ai/Yi-34B,Yi,34.0,3.0,612.0,0.763515673,0.645904437,0.856901016,0.830307814,0.562308393,0.506444276,0.795640491,0.268292683,01-ai,202311.0,,,,,,,,,,,,,,
google/gemma-7b,Gemma,7.0,6.0,252.0,0.660274573,0.610921502,0.824736108,0.784530387,0.449054884,0.527672479,0.783899856,0.335365854,google,202402.0,0.6509756445,bdsrc,,,,0.016307750452187186,0.9599439315080162,0.04183420510533787,0.9863182751197793,0.08228841798074371,0.9752189144822367,0.9387605671304,0.04681215489111347,0.9738279644936092
google/gemma-2b,Gemma,2.0,6.0,72.0,0.417731464,0.483788396,0.71768572,0.662983425,0.330844343,0.169067475,0.709318357,0.231707317,google,202402.0,0.4119071357,bdsrc,,,,0.479057283506581,0.9355690041867781,0.4680218842100637,0.9418544187537627,0.5181870478344472,0.9476022687139181,0.43100579112028226,0.4884226952137614,0.941675637010013
tiiuae/falcon-180B,Falcon,180.0,3.5,3780.0,0.695866104,0.691979522,0.88886676,0.868981847,0.451569509,0.459438969,0.844553352,,tiiuae,202309.0,,,,,,,,,,,,,,
tiiuae/falcon-40b,Falcon,40.0,1.0,240.0,0.569797005,0.619453925,0.852818164,0.812943962,0.417169225,0.214556482,0.784630576,,tiiuae,202309.0,,,,,,,,,,,,,,
tiiuae/falcon-7b,Falcon,7.0,1.5,63.0,0.277854702,0.478668942,0.781318462,0.723756906,0.342638255,0.046247157,0.717572363,,tiiuae,202309.0,0.2707591511,bdsrc,,,,0.4389062270644224,0.6188493909881256,0.5388648920150103,0.5982367792457659,0.7134758465467438,0.551914752334278,0.336284363975238,0.5637572986506599,0.5896650316734632
tiiuae/falcon-rw-1b,Falcon,1.0,0.35,2.1,0.252803188,0.350682594,0.635630353,0.620363062,0.35955599,0.005307051,0.535498701,,tiiuae,202307.0,0.2507477567,bdsrc,,,,0.1627075507778426,0.7049370715926948,0.580560726282753,0.6324311103132486,0.9237953920877902,0.679629889067546,0.3598482327098449,0.5557140482955714,0.672330520026871
microsoft/phi-2,Phi,2.7,1.4,22.68,0.579202667,0.610068259,0.749153555,0.73480663,0.442368784,0.549658832,0.526666391,0.493902439,miscrosoft,202306.0,0.5694345535,bdsrc,,,,0.05787070488477191,0.872978766655015,0.40809636649686193,0.789870120366483,0.7391996131895884,0.7758768855464205,0.5423683685016308,0.40174511652984213,0.8129045923086932
microsoft/phi-1_5,Phi,1.3,0.15,1.17,0.438864678,0.529010239,0.637920733,0.722178374,0.408899386,0.124336619,0.511112784,0.341463415,miscrosoft,202306.0,0.4246546076,bdsrc,,,,0.0992833969729681,0.8546695155333683,0.5931176584168475,0.7014585708364921,0.9213781029753658,0.7767917731740358,0.3981894428542901,0.5379555842172586,0.7776348257392228
