Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_1502_acc,0_1502_san,1502_3004_acc,1502_3004_san,3004_4506_acc,3004_4506_san,4506_6009_acc,4506_6009_san,6009_7511_acc,6009_7511_san,7511_9013_acc,7511_9013_san,9013_10516_acc,9013_10516_san,10516_12018_acc,10516_12018_san,12018_13520_acc,12018_13520_san,13520_15023_acc,13520_15023_san,brier,san
Qwen/Qwen1.5-4B,Qwen1.5,4.0,2.4,57.6,0.565235196,0.484641638,0.715793667,0.662194159,0.472731898,0.522365428,0.688785439,0.262195122,alibaba,202402.0,0.5526278308,rllab,,,,0.18841544607190414,0.952855828332021,0.33089214380825566,0.8947955340437034,0.4533954727030626,0.8938144048303946,0.530938123752495,0.8941265011877819,0.5805592543275633,0.890832743672681,0.6005326231691078,0.8770456097091647,0.6500332667997338,0.867737179858259,0.6937416777629827,0.8628349331749842,0.6624500665778962,0.8657509563336877,0.7152361942781105,0.8478648402093867,0.38725425735241636,0.8847628864149663
Qwen/Qwen1.5-1.8B,Qwen1.5,1.8,2.4,25.92,0.467083853,0.37883959,0.614220275,0.602999211,0.394278142,0.3358605,0.643824663,0.182926829,alibaba,202402.0,0.4600484262,rllab,,,,0.06324900133155792,0.6293150364053175,0.11451398135818908,0.5958285879724263,0.18641810918774968,0.5943944366721557,0.249500998003992,0.5966178974734825,0.31025299600532624,0.6008259997473243,0.36884154460719043,0.5907789577197513,0.5069860279441117,0.6032141630441493,0.6844207723035952,0.6194976300261535,0.7363515312916112,0.6319246002992708,0.7984031936127745,0.6635977714826065,0.5164379265442965,0.6126012142220376
Qwen/Qwen1.5-0.5B,Qwen1.5,0.5,2.4,7.2,0.393533408,0.314846416,0.490539733,0.572217837,0.382992684,0.163002274,0.575621493,0.115853659,alibaba,202402.0,0.3886198547,rllab,,,,0.019307589880159785,0.8276128974430359,0.06125166444740346,0.7913002552664529,0.14647137150466044,0.7854612312652987,0.25216234198270127,0.7906520434900987,0.30426098535286283,0.7937371783637185,0.34354194407456723,0.7897629986144242,0.3972055888223553,0.7956490768896701,0.47536617842876167,0.7995492934827395,0.655792276964048,0.804681450506997,0.8310046573519627,0.82579869886744,0.5392053892433339,0.8004212338649006
Qwen/Qwen-72B,Qwen,72.0,3.0,1296.0,0.773737575,0.651877133,0.85939056,0.824782952,0.601910952,0.704321456,0.828731413,0.37195122,alibaba,202311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen-14B,Qwen,14.0,3.0,252.0,0.677042803,0.582764505,0.839872535,0.767955801,0.494329446,0.589840788,0.791508524,0.353658537,alibaba,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen-7B,Qwen,7.0,2.4,100.8,0.598387921,0.513651877,0.784704242,0.72691397,0.477859305,0.449583017,0.734576728,0.317073171,alibaba,202308.0,0.5828941746,rllab,,,,0.15379494007989347,0.9988140791262845,0.2969374167776298,0.9319177846609203,0.3754993342210386,0.9368208569736297,0.44045242847638055,0.9414753735403639,0.49134487350199735,0.9461415428086071,0.5339547270306259,0.9383833658116075,0.6260811709913506,0.9291591431013676,0.6717709720372836,0.9311897727197097,0.6165113182423435,0.9217484410398062,0.7019294743845642,0.9076409926389226,0.42776770407026826,0.9383266915293891
mistralai/Mistral-7B-v0.1,Mistral,7.3,,,0.641644838,0.599829352,0.833100976,0.786108919,0.421531711,0.370735406,0.781857102,0.274390244,mistral,202309.0,0.62590799,rllab,,,,0.585219707057257,1.0550819508112856,0.848202396804261,0.9670222257678587,0.8821571238348869,0.9725043378856121,0.8855622089155023,0.9781319376203732,0.9007989347536618,0.9786786912480054,0.918774966711052,0.9707504976851526,0.9447771124417831,0.9644299210988403,0.9733688415446072,0.9591577015771486,0.9820239680426098,0.9622999871055521,0.9900199600798403,0.9672949039310141,0.1257098825351028,0.9775337012027142
mistralai/Mixtral-8x7B-v0.1,Mixtral,45.0,,,0.718783933,0.663822526,0.864568811,0.816890292,0.46805433,0.576194086,0.800190967,0.335365854,mistral,202312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-ai/Yi-6B,Yi,6.0,3.0,108.0,0.641070914,0.555460751,0.765684127,0.741910024,0.419616075,0.121304018,0.723879126,0.158536585,01-ai,202311.0,0.6344537815,bdsrc,,,,0.15712383488681758,0.9925912589967747,0.2669773635153129,0.956171948947099,0.3581890812250333,0.9621336071628449,0.4138389886892881,0.9631371537643341,0.5459387483355526,0.9574136946793523,0.6451398135818908,0.9437158403223708,0.7744510978043913,0.935007657647607,0.9027962716378163,0.9330760187001718,0.9467376830892144,0.9377980064945453,0.9767132401862941,0.9111369249552023,0.3988041438803569,0.9492156568904434
01-ai/Yi-34B,Yi,34.0,3.0,612.0,0.763515673,0.645904437,0.856901016,0.830307814,0.562308393,0.506444276,0.795640491,0.268292683,01-ai,202311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
