Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_17_brier,0_17_san,17_35_brier,17_35_san,35_52_brier,35_52_san,52_70_brier,52_70_san,70_87_brier,70_87_san,87_105_brier,87_105_san,105_122_brier,105_122_san,122_140_brier,122_140_san,140_157_brier,140_157_san,157_175_brier,157_175_san,acc,brier,san
Qwen/Qwen1.5-4B,Qwen1.5,4.0,2.4,57.6,0.565235196,0.484641638,0.715793667,0.662194159,0.472731898,0.522365428,0.688785439,0.262195122,alibaba,202402.0,0.5526278308,rllab,,,,0.20882109029218754,0.9421852702317551,0.5399795195106102,0.9429840594072267,0.2694436343361976,0.9467154249527304,0.22013143478045719,0.9500481424092193,0.15610464319061887,0.9595131199671598,0.3550318398707483,0.959246749357151,0.4131665611472742,0.9654592633899298,0.45688426032193685,0.9103564831699996,0.5183612711427598,0.947316630893435,0.4631114938985436,0.9097488777853635,0.5714285714285714,0.3614442644156285,0.9431036724498078
Qwen/Qwen1.5-1.8B,Qwen1.5,1.8,2.4,25.92,0.467083853,0.37883959,0.614220275,0.602999211,0.394278142,0.3358605,0.643824663,0.182926829,alibaba,202402.0,0.4600484262,rllab,,,,0.33923552322768424,0.9091690905847762,0.5586359460990272,0.9037495256343822,0.2979874085202857,0.8933946082287502,0.4248483701404238,0.8943790935254206,0.35121862705709844,0.9099660726994413,0.40990087342122794,0.9051914772083699,0.4807816798882212,0.9246560708671777,0.5587956659286886,0.8793628921169131,0.4642026413556119,0.9547463232243176,0.6310400363937241,0.8780801510627246,0.4514285714285714,0.45352123438015407,0.9048947618693517
Qwen/Qwen1.5-0.5B,Qwen1.5,0.5,2.4,7.2,0.393533408,0.314846416,0.490539733,0.572217837,0.382992684,0.163002274,0.575621493,0.115853659,alibaba,202402.0,0.3886198547,rllab,,,,0.5237387058242314,0.8073165696349875,0.5027485680664321,0.7469284674522977,0.4852443537588529,0.8248844783894433,0.586487005173773,0.8276553206444914,0.49130963533647026,0.8533972006928949,0.5660911462701753,0.8177625229280234,0.5153541287017912,0.8163471283904266,0.6302282093149754,0.7897450830196446,0.6956765603587294,0.8648445437294048,0.5103735943560166,0.7737996204861354,0.3142857142857143,0.5509669196852912,0.8116655252330426
Qwen/Qwen-72B,Qwen,72.0,3.0,1296.0,0.773737575,0.651877133,0.85939056,0.824782952,0.601910952,0.704321456,0.828731413,0.37195122,alibaba,202311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen-14B,Qwen,14.0,3.0,252.0,0.677042803,0.582764505,0.839872535,0.767955801,0.494329446,0.589840788,0.791508524,0.353658537,alibaba,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen/Qwen-7B,Qwen,7.0,2.4,100.8,0.598387921,0.513651877,0.784704242,0.72691397,0.477859305,0.449583017,0.734576728,0.317073171,alibaba,202308.0,0.5828941746,rllab,,,,0.16388621179364593,0.9845262088938442,0.4086557514688903,0.9725084078982531,0.21329598329266528,0.9678599676135978,0.25965882404735746,0.9702931043508083,0.146195121557374,0.9803917751778127,0.2935697389278016,0.9816468436242631,0.28564219526227363,0.9855421611667076,0.18390301306829673,0.9695624883407636,0.3705955078507057,0.9747554907778296,0.4056732901390658,0.9701546741468456,0.6685714285714286,0.2741699797347927,0.9756415119554472
mistralai/Mistral-7B-v0.1,Mistral,7.3,,,0.641644838,0.599829352,0.833100976,0.786108919,0.421531711,0.370735406,0.781857102,0.274390244,mistral,202309.0,0.62590799,rllab,,,,0.11592839319184638,0.980454194630304,0.18577418065565862,0.9668350695615886,0.07591660537986807,0.9672605995459648,0.09134854892908771,0.9776823349370818,0.07394386388959799,0.9889137077109529,0.24802315373538983,0.9821125485401976,0.05506591136923807,0.9875151378528786,0.13866528771583864,0.9632925820682829,0.24308167692449553,1.0080949889057413,0.31127583744308374,0.9650278427389725,0.8228571428571428,0.15507706180262182,0.9784980770754834
mistralai/Mixtral-8x7B-v0.1,Mixtral,45.0,,,0.718783933,0.663822526,0.864568811,0.816890292,0.46805433,0.576194086,0.800190967,0.335365854,mistral,202312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-ai/Yi-6B,Yi,6.0,3.0,108.0,0.641070914,0.555460751,0.765684127,0.741910024,0.419616075,0.121304018,0.723879126,0.158536585,01-ai,202311.0,0.6344537815,bdsrc,,,,0.09922621085863624,0.980296228955744,0.2827120264245652,0.9773731398412117,0.20197172845369782,0.9748578953198698,0.07587074488201476,0.9849986789765869,0.11115182421335641,0.9852119692280921,0.25980792780024414,0.9641808372645565,0.14635509757275034,0.9873175378361903,0.34061144952635797,0.9747362853665267,0.37868918174512534,1.0014461724880641,0.41736523214157945,0.9584778244446315,0.72,0.2326303518987789,0.9786914768637629
01-ai/Yi-34B,Yi,34.0,3.0,612.0,0.763515673,0.645904437,0.856901016,0.830307814,0.562308393,0.506444276,0.795640491,0.268292683,01-ai,202311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/gemma-7b,Gemma,7.0,6.0,252.0,0.660274573,0.610921502,0.824736108,0.784530387,0.449054884,0.527672479,0.783899856,0.335365854,google,202402.0,0.6509756445,bdsrc,,,,0.10628950178375798,0.9846557978458785,0.1012950322069694,0.9832648755023047,0.0673005341168235,0.9813971092204568,0.0275066576341902,0.9830157513017698,0.08276497265032512,0.9843028511263278,0.17790259557213098,0.9802845848435481,0.05154709976022852,0.9888422625204101,0.12406583840603841,0.9705989601155203,0.25790929652606076,1.0185505081120962,0.2727112096881266,0.9561714311102558,0.8514285714285714,0.12732261648780868,0.9828672333814229
google/gemma-2b,Gemma,2.0,6.0,72.0,0.417731464,0.483788396,0.71768572,0.662983425,0.330844343,0.169067475,0.709318357,0.231707317,google,202402.0,0.4119071357,bdsrc,,,,0.23961692807404145,0.9044906372289863,0.4345351720880836,0.9413189546795794,0.29695086433945217,0.9119640518107376,0.24193544357785543,0.925763804108628,0.27720162409439786,0.93724704416176,0.32470474741072824,0.937937097019736,0.3300147251763188,0.9362750645370085,0.4133242221125279,0.8847239165489325,0.5403356387726945,0.8459540329289278,0.610651503009458,0.8730336870973894,0.52,0.37190146203053237,0.9099475336658455
tiiuae/falcon-180B,Falcon,180.0,3.5,3780.0,0.695866104,0.691979522,0.88886676,0.868981847,0.451569509,0.459438969,0.844553352,,tiiuae,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiiuae/falcon-40b,Falcon,40.0,1.0,240.0,0.569797005,0.619453925,0.852818164,0.812943962,0.417169225,0.214556482,0.784630576,,tiiuae,202309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiiuae/falcon-7b,Falcon,7.0,1.5,63.0,0.277854702,0.478668942,0.781318462,0.723756906,0.342638255,0.046247157,0.717572363,,tiiuae,202309.0,0.2707591511,bdsrc,,,,0.3201884396892839,0.9062038774335516,0.4519218692147144,0.9242222908375902,0.3017534254874849,0.901465692034785,0.24707189656833262,0.9124230642265844,0.3209806002142244,0.9375815589907153,0.41519492653990153,0.9386054383401495,0.4220809271906856,0.9371453318616993,0.46799116549895636,0.8941975198973781,0.46777736719795504,0.9462094100267616,0.6274766952754339,0.916079400762141,0.5028571428571429,0.40532051926860485,0.9212902779946105
tiiuae/falcon-rw-1b,Falcon,1.0,0.35,2.1,0.252803188,0.350682594,0.635630353,0.620363062,0.35955599,0.005307051,0.535498701,,tiiuae,202307.0,0.2507477567,bdsrc,,,,0.4668882795906584,0.8520971323949471,0.3708319949011215,0.8797919734190215,0.28301818897332226,0.8846790957505624,0.6004830022693822,0.8548980607818382,0.597433724186914,0.8769359459272648,0.5687405288371301,0.8657621411389738,0.6275690525737515,0.8754937772119894,0.7381263397097988,0.8316721640511209,0.6164088977625838,0.8357154388525986,0.820171383980123,0.8322167395592475,0.2857142857142857,0.5704158110116505,0.8587531603053641
